cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
37063328001058,,,,,,,
90155789000142,,,,,,,
10401915000162,,,,,,,
00306597009234,,,,,,,
09257484000123,,,,,,,
02119318000111,,,,,,,
02667718000161,,,,,,,
08240645000103,,,,,,,
89676027000102,,,,,,,
95425369001124,,,,,,,
03229863000123,,,,,,,
93489243002240,,,,,,,
93489243005002,,,,,,,
93489243000620,,,,,,,
94410628000109,,,,,,,
03250828000196,,,,,,,
97225346001606,,,,,,,
07473735003954,,,,,,,
19257042000130,,,,,,,
05757241000101,,,,,,,
20584444000390,,,,,,,
87417994000124,,,,,,,
90589698000620,,,,,,,
17695813000146,,,,,,,
91279885000165,,,,,,,
01852437000205,,,,,,,
87413332000186,,,,,,,
